t,ax,ay,az,wx,wy,wz,s
643.340202093,-12016,-6988,-2748,-3211,-5947,-3863,0
643.449877024,-12504,2984,-1336,9899,2563,12805,0
643.559463978,-14112,1132,-5304,8827,-3733,7011,1
643.669000149,-14936,-1176,-3104,8078,-6262,8422,0
643.778385162,-16188,-2992,3272,4552,-7343,12912,0
643.887952089,-15192,296,-800,-12,-6798,6108,0
643.997426033,-16172,-3132,-4824,923,-5375,5583,0
644.106992006,-19824,-4184,-16792,6625,24352,-10285,0
644.216447115,-22104,408,2580,-3394,10704,-11568,0
644.325893164,-16036,1856,1680,-6250,5497,-16575,0
644.43541503,-12012,3884,-1548,-6385,444,-13548,0
644.544824123,-16112,0,-4888,-8770,-6912,-11941,0
644.654310942,-14972,-3400,-4904,-9684,-6758,-4638,0
644.763816118,-24980,4848,-5772,-11341,1070,8135,0
644.873234034,-16100,-1164,-1844,7945,-8696,7220,1
644.982716084,-14320,-3220,-1824,1178,-5815,8844,0
645.092165947,-14964,-1472,-3388,-4684,-6958,6173,0
645.201766968,-14968,-2456,-4508,-1388,-8267,6766,0
645.311233044,-17788,-9964,-11324,-2029,2230,2101,0
645.420634985,-22484,-4056,2500,-8625,16484,-13682,0
645.530147076,-18800,768,1068,-10748,10870,-23983,0
645.639678001,-13336,4076,2400,-5156,3992,-14989,0
645.749155045,-10876,12,2604,-4186,-1788,-6942,0
645.858648062,-11200,-27304,-19804,10509,638,-3337,0
645.968142986,-19024,-21460,-18280,20092,-5909,15185,0
646.077621937,-15976,3724,2556,8068,-8310,10248,1
646.187076092,-15740,-3508,-1460,3364,-9692,10810,0
646.296519041,-16032,-2244,-984,1510,-6199,7940,0
646.40614295,-13888,-1484,-2044,-3261,-8447,5819,0
646.515642166,-16932,-3700,-3424,4249,-3858,5328,0
646.625154972,-13900,-6364,-11732,4010,16215,-6179,0
646.734692097,-23424,-1520,2452,-3119,8818,-11904,0
646.844105959,-14636,6060,3000,-3267,6999,-14818,0
646.953524113,-10732,2624,-628,1198,1817,-8754,0
647.062952995,-12152,-5132,-6268,-7682,-5872,-8751,0
647.172345161,-13848,-2624,-4044,-13309,-10417,-4010,0
647.281713009,-11024,3368,6488,-13787,583,-1615,1
647.391458988,-19332,-1204,2160,1410,-10357,5981,0
647.500993967,-15740,640,-616,4170,-7776,7403,0
647.610669136,-15000,-3140,-3524,792,-8908,7212,0
647.720561028,-16232,-3216,-5148,3442,-3280,6091,0
647.830064058,-11904,-13240,-25172,7523,20452,-115,0
647.939619064,-23592,-2352,3072,-3961,10490,-8839,0
648.04914403,-16596,2440,4996,-7947,6880,-16022,0
648.158712149,-12228,492,704,-8442,-5147,-13972,0
648.268368959,-18960,932,-2780,-8405,-8037,-12393,0
648.377838135,-13548,-6952,-3024,-7418,-7338,-2767,0
648.487421036,-21604,8880,-3172,-7325,12246,5507,1
648.596904039,-17216,-2388,-2548,-4862,-7617,4370,0
648.706383944,-15352,-1056,-3076,-6764,-7817,6342,0
648.815820932,-12372,-2224,-1364,-2964,-8723,10989,0
648.925497055,-15332,-2216,-5328,-3512,-5429,4827,0
649.034945011,-17304,-10084,-13836,1855,6269,6982,0
649.144330978,-22428,524,2852,-3950,20187,-12298,0
649.253906965,-19752,540,1500,-14592,6454,-19554,0
649.363268137,-16144,-740,2608,-8240,2584,-18707,0
649.472645044,-10052,3452,936,-8326,-907,-15090,0
649.58197999,-10396,-15612,-14096,2450,-8283,-6454,0
649.691544056,-23284,-14012,-21752,-13153,-4069,-747,0
649.800905943,-13648,6812,-6984,12676,-2874,16822,0
649.910418034,-17604,1060,-1460,-4969,-6378,11255,1
650.02009201,-14788,128,-2204,364,-5291,7357,0
650.129477978,-16480,2760,-3908,-5635,-8354,6490,0
650.239166975,-16280,-3540,-5804,-2141,-6009,5786,0
650.348664999,-15228,-9868,-23120,10615,28231,-6772,0
650.458182096,-24336,-416,3812,-6933,13232,-13563,0
650.577996969,-18400,1908,3208,-11839,6760,-20593,0
650.685992956,-13796,4816,-2884,-7009,-1044,-14648,0
650.794090986,-15252,-3316,-2400,-8559,-5518,-12294,0
650.902521133,-12392,-7500,-5452,-4025,-6078,-4317,0
651.010792017,-25632,912,-8608,-985,-10430,4646,1
651.118792057,-16564,-2380,-4720,9912,-6360,9081,0
651.227854013,-15100,-2636,-2160,5190,-7358,9752,0
651.337321043,-15960,-1388,-1008,2246,-6857,8404,0
651.446880102,-14804,-3984,-3400,-1556,-7456,7459,0
651.556448936,-17024,-6520,-5932,4817,-1083,3375,0
651.665817976,-21828,-3504,-1464,-920,19538,-9956,0
651.775407076,-24360,-1412,-736,-6858,4316,-17050,0
651.884865046,-11900,4060,1048,83,7321,-13292,0
651.99429512,-10192,284,588,2404,7,-8641,0
652.103629112,-10340,-16212,-15164,1880,-3104,-2742,0
652.213163137,-19092,-23200,-25204,13645,-9769,11296,0
652.322507143,-13948,1984,1408,5056,-4980,10546,1
652.432266951,-15540,-2920,-4152,4397,-7807,11477,0
652.541846991,-16588,-368,112,1845,-7402,7981,0
652.651417017,-15696,-3120,-4444,2150,-10917,8537,0
652.761038065,-15176,-5396,-5452,2675,-2433,6554,0
652.870818138,-24212,-4748,-4628,1325,16179,-7272,0
652.980385065,-22936,-3612,752,-6845,5504,-15877,0
653.089910984,-13972,3864,1572,-2136,4611,-15611,0
653.199476957,-11372,3184,724,-1721,-610,-8774,0
653.309105158,-11304,-10208,-14116,-6099,-6989,-7257,0
653.418496132,-12668,-8440,-18228,-9133,-75,4636,0
653.527996063,-21028,-4124,11752,747,-9362,7202,1
653.637589931,-16844,-432,-1304,-4863,-6718,9338,0
653.747089148,-13960,-952,-3756,-3506,-7620,5984,0
653.856550932,-15412,-1340,-3276,-3041,-8412,5936,0
653.966151953,-16560,-1484,-5728,1128,755,2861,0
654.075567961,-21648,-4296,-13000,-6329,22209,-12772,0
654.184978962,-26376,-2028,8684,-16931,9788,-22766,0
654.294403076,-18012,-2268,7140,-21731,1618,-20934,0
654.403883934,-18032,2576,-860,-16244,-373,-19937,0
654.513386011,-14972,1200,-3852,-16799,-3905,-17118,0
654.62272501,-13924,-9612,-8916,-3773,-5264,-8946,1
654.732167006,-19348,5668,-15088,14391,-9524,4887,1
654.841542959,-18000,1280,-3284,20369,-10394,8297,0
654.95115304,-12812,-4736,-2520,2012,-5345,8203,0
655.060781956,-16184,-13300,-6524,8494,-6559,14958,0
655.170176029,-14736,344,-816,1984,-7411,7980,0
